Material	U	c1	c2	J2
WO3	0.306122449	0.5	0.0	4.191033369
WO3	0.408163265	0.5	0.0	4.489132782
WO3	0.510204082	0.5	0.0	4.812384443
WO3	0.612244898	0.5	0.0	5.16577866
WO3	0.714285714	0.5	0.0	5.551120526
WO3	0.816326531	0.5	0.0	5.967134103
WO3	0.918367347	0.5	0.0	6.410062654
WO3	1.020408163	0.5	0.0	6.874513022
WO3	1.12244898	0.5	0.0	7.354236718
WO3	1.224489796	0.5	0.0	7.842700518
WO3	1.326530612	0.5	0.0	8.333452172
WO3	1.428571429	0.5	0.0	8.820357961
WO3	1.530612245	0.5	0.0	9.297792168
WO3	1.632653061	0.5	0.0	9.760828662
WO3	1.734693878	0.5	0.0	10.20544783
WO3	1.836734694	0.5	0.0	10.62874258
WO3	1.93877551	0.5	0.0	11.02909112
WO3	2.040816327	0.5	0.0	11.40626169
WO3	2.142857143	0.5	0.0	11.76142373
WO3	2.244897959	0.5	0.0	12.09705525
WO3	2.346938776	0.5	0.0	12.41675322
WO3	2.448979592	0.5	0.0	12.72496863
WO3	2.551020408	0.5	0.0	13.02669554
WO3	2.653061224	0.5	0.0	13.32714582
WO3	2.755102041	0.5	0.0	13.6314359
WO3	2.857142857	0.5	0.0	13.94430377
WO3	2.959183673	0.5	0.0	14.26986463
WO3	3.06122449	0.5	0.0	14.61140623
WO3	3.163265306	0.5	0.0	14.97122141
WO3	3.265306122	0.5	0.0	15.35047657
WO3	3.367346939	1.0	-0.6	15.66216803
WO3	3.469387755	1.0	-0.6	15.8994559
WO3	3.571428571	1.0	-0.6	16.13984048
WO3	3.673469388	1.0	-0.6	16.38342777
WO3	3.775510204	1.0	-0.6	16.63028691
WO3	3.87755102	1.0	-0.6	16.8804573
WO3	3.979591837	1.0	-0.6	17.13395516
WO3	4.081632653	1.0	-0.6	17.39077947
WO3	4.183673469	1.0	-0.6	17.65091637
WO3	4.285714286	1.0	-0.587755102	17.90379111
WO3	4.387755102	1.0	-0.587755102	18.15298936
WO3	4.489795918	1.0	-0.575510204	18.39392439
WO3	4.591836735	1.0	-0.575510204	18.63157361
WO3	4.693877551	1.0	-0.563265306	18.86191275
WO3	4.795918367	1.0	-0.563265306	19.08811244
WO3	4.897959184	1.0	-0.563265306	19.31701817
WO3	5.0	1.0	-0.563265306	19.54863197
Y2O3	0.0	1.0	-0.012244898	11.39850183
Y2O3	0.102040816	0.642857143	-0.012244898	11.06565928
Y2O3	0.204081633	0.653061224	-0.012244898	11.66116861
Y2O3	0.306122449	0.663265306	-0.012244898	12.37030684
Y2O3	0.408163265	0.673469388	-0.012244898	12.95802512
Y2O3	0.510204082	0.683673469	-0.012244898	13.43795183
Y2O3	0.612244898	0.693877551	-0.012244898	14.03297042
Y2O3	0.714285714	0.693877551	-0.012244898	14.72509569
Y2O3	0.816326531	0.704081633	-0.012244898	15.28760854
Y2O3	0.918367347	0.714285714	-0.012244898	15.65163144
Y2O3	1.020408163	0.724489796	-0.012244898	16.09688777
Y2O3	1.12244898	0.734693878	-0.012244898	16.73295489
Y2O3	1.224489796	0.734693878	-0.012244898	17.26836137
Y2O3	1.326530612	0.744897959	-0.012244898	17.59275081
Y2O3	1.428571429	0.755102041	-0.012244898	17.9079582
Y2O3	1.530612245	0.765306122	-0.012244898	18.43612674
Y2O3	1.632653061	0.765306122	-0.012244898	18.95855627
Y2O3	1.734693878	0.775510204	-0.012244898	19.29969131
Y2O3	1.836734694	0.785714286	-0.012244898	19.53592798
Y2O3	1.93877551	0.795918367	-0.012244898	19.94417207
Y2O3	2.040816327	0.795918367	-0.012244898	20.42125827
Y2O3	2.142857143	0.806122449	-0.110204082	20.72212027
Y2O3	2.244897959	0.816326531	-0.134693878	20.84346832
Y2O3	2.346938776	0.826530612	-0.159183673	21.03503133
Y2O3	2.448979592	0.836734694	-0.183673469	21.35764798
Y2O3	2.551020408	0.846938776	-0.195918367	21.60887769
Y2O3	2.653061224	0.857142857	-0.208163265	21.71421643
Y2O3	2.755102041	0.867346939	-0.232653061	21.81239118
Y2O3	2.857142857	0.87755102	-0.244897959	22.03806685
Y2O3	2.959183673	0.887755102	-0.257142857	22.27356199
Y2O3	3.06122449	0.897959184	-0.269387755	22.38918204
Y2O3	3.163265306	0.908163265	-0.293877551	22.43694678
Y2O3	3.265306122	0.918367347	-0.269387755	22.61510503
Y2O3	3.367346939	0.93877551	-0.318367347	22.88853907
Y2O3	3.469387755	0.948979592	-0.293877551	23.05516554
Y2O3	3.571428571	0.969387755	-0.318367347	23.14314592
Y2O3	3.673469388	0.989795918	-0.330612245	23.30369037
Y2O3	3.775510204	1.0	-0.293877551	23.64426083
Y2O3	3.87755102	1.0	-0.208163265	24.21041378
Y2O3	3.979591837	1.0	-0.110204082	25.05107915
ZrO2	0.0	1.0	-0.6	21.61330237
ZrO2	0.102040816	0.632653061	-0.12244898	15.52040562
ZrO2	0.204081633	0.642857143	-0.012244898	48.15116951
ZrO2	0.306122449	0.642857143	0.0	33.58166737
ZrO2	0.408163265	0.653061224	-0.012244898	38.79730991
ZrO2	0.510204082	0.663265306	-0.012244898	20.31634617
ZrO2	0.612244898	0.673469388	-0.012244898	14.79661879
ZrO2	0.714285714	0.673469388	-0.220408163	16.62939526
ZrO2	0.816326531	0.683673469	-0.12244898	15.001672
ZrO2	0.918367347	0.693877551	-0.036734694	14.78095398
ZrO2	1.020408163	0.704081633	-0.183673469	15.20770887
ZrO2	1.12244898	0.704081633	0.0	15.78261025
ZrO2	1.224489796	0.714285714	-0.318367347	20.06410357
ZrO2	1.326530612	0.724489796	0.0	16.39725126
ZrO2	1.428571429	0.724489796	-0.526530612	17.76618029
ZrO2	1.530612245	0.734693878	-0.47755102	11.07853926
ZrO2	1.632653061	0.744897959	-0.06122449	11.67798177
ZrO2	1.734693878	0.744897959	-0.293877551	10.85130652
ZrO2	1.836734694	0.755102041	0.0	20.49455277
ZrO2	1.93877551	0.765306122	0.0	21.35981099
ZrO2	2.040816327	0.765306122	0.0	30.99218123
ZrO2	2.142857143	0.775510204	0.0	24.30189757
ZrO2	2.244897959	0.785714286	0.0	22.29319601
ZrO2	2.346938776	0.785714286	0.0	20.90424203
ZrO2	2.448979592	0.795918367	0.0	19.84293941
ZrO2	2.551020408	0.806122449	0.0	27.80115169
ZrO2	2.653061224	0.806122449	0.0	21.46080865
ZrO2	2.755102041	0.816326531	0.0	22.42807794
ZrO2	2.857142857	0.826530612	0.0	33.77782915
ZrO2	2.959183673	0.836734694	0.0	29.53488979
ZrO2	3.06122449	0.836734694	0.0	23.8131338
ZrO2	3.163265306	0.846938776	0.0	23.68553991
ZrO2	3.265306122	0.857142857	0.0	26.10973811
ZrO2	3.367346939	0.867346939	-0.195918367	47.79624349
ZrO2	3.469387755	0.867346939	0.0	25.19061472
ZrO2	3.571428571	0.87755102	0.0	25.92993274
ZrO2	3.673469388	0.887755102	0.0	29.3614372
ZrO2	3.775510204	0.897959184	0.0	26.48128226
ZrO2	3.87755102	0.897959184	0.0	26.09023727
ZrO2	3.979591837	0.918367347	-0.195918367	51.06881517
ZrO2	4.081632653	0.918367347	0.0	25.81361145
ZrO2	4.183673469	0.928571429	0.0	25.10765554
ZrO2	4.285714286	0.93877551	0.0	26.20754176
ZrO2	4.387755102	0.948979592	0.0	26.55611406
ZrO2	4.489795918	0.959183673	0.0	26.72154134
ZrO2	4.591836735	0.959183673	0.0	25.60723906
ZrO2	4.693877551	0.969387755	0.0	24.49498464
ZrO2	4.795918367	0.979591837	0.0	24.02134507
ZrO2	4.897959184	0.989795918	0.0	23.54174498
